"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
2,5.98837,0.142427,1.37347,-5.02854,0.0755579,17.4858,3.03936e-05,101331,-0.031845,-0.00468278,-0.06
2,-0.145622,0.232035,0.08119,-6.73414,0.0707703,4.47427,8.47354e-05,101325,-0.0151489,-0.00987436,-0.06
1,9.48333,-1.73604,1.54594,-6.06031,0.178521,39.4526,0.000161408,101334,0.0155768,0.00178472,-0.06
1,5.09908,-5.53401,4.74547,-3.6761,0.399976,168.371,4.64056e-05,101330,0.0279985,-0.00160951,-0.06
1,3.75793,-0.557134,2.5121,-6.07606,0.141007,31.9242,9.47058e-05,101329,0.0244952,0.0084608,-0.06
1,-8.81406,0.851867,1.088,-6.14663,0.608593,351.535,0.000133726,101316,0.05,0.0145335,-0.06
1,-13.4975,-0.244113,1.65599,-5.60555,0.438724,205.959,0.000109674,101312,0.05,0.0226863,-0.06
1,-10.6071,0.0577156,1.92966,-6.01492,0.417754,186.163,0.000109461,101314,0.0449188,0.0210717,-0.06
1,-48.5166,1.02914,-2.89007,-6.03183,8.9601,15451.5,0.00109295,101276,0.0394843,-0.0395258,-0.06
1,-48.3267,1.00623,-2.83578,-5.98621,8.92708,15466,0.00108893,101277,0.0393915,-0.039532,-0.06
1,8.60121,-1.86653,1.28217,-5.8992,0.183263,41.4685,0.000157189,101334,0.0159023,-0.00140289,-0.06
1,4.79877,-2.20459,0.451626,-5.64447,0.181825,40.6293,0.000141536,101330,0.0170525,-0.0084389,-0.06
1,7.55819,-2.99689,1.58914,-5.47985,0.244232,72.6551,0.000126716,101333,0.0182682,-0.00701655,-0.06
1,-8.77688,-0.475615,-1.08809,-6.02417,0.808511,390.991,0.000235198,101316,0.0141935,-0.0371938,-0.06
1,-21.422,-0.0140606,-0.41788,-6.70921,2.51949,1768.22,0.000511357,101304,0.0248597,-0.035663,-0.06
1,-46.8376,1.00123,-2.82013,-5.97459,8.70756,14933,0.00107101,101278,0.0394848,-0.0392949,-0.06
1,-47.249,0.994268,-2.81496,-5.96993,8.80412,15127.8,0.0010819,101278,0.039375,-0.039431,-0.06
1,5.11666,-5.18191,4.25018,-3.85503,0.377922,155.136,5.69249e-05,101330,0.0267931,-0.00292744,-0.06
1.34827,-0.496676,-0.722836,0.793746,-6.68239,0.138971,4.91537,0.000309937,101324,0.00510012,0.00853888,-0.06
1.29679,0.635523,-0.938067,0.834137,-6.7339,0.146384,8.25588,0.000313288,101326,0.00699067,0.00583143,-0.06
1,5.02171,-5.54195,4.7249,-3.67217,0.401325,169.319,4.37025e-05,101330,0.0283221,-0.00214964,-0.06
2,-14.0534,-1.71473,-0.093174,-6.28195,0.239628,177.075,5.84328e-05,101311,-0.0154845,0.0414124,-0.06
2,-9.1254,-0.865172,0.824371,-7.57823,0.0736579,15.0379,3.7553e-05,101316,-0.0166616,0.0303165,-0.06
2,-5.77253,-0.528756,0.733442,-7.29463,0.0708223,11.1087,4.41191e-05,101319,-0.0102466,0.0270186,-0.06
2,-14.5483,-0.41268,-1.69171,-7.67311,0.314602,139.163,9.22074e-05,101310,-0.0174962,-0.0384421,-0.06
2,-9.89479,-0.372977,-1.37776,-7.2565,0.136942,59.0862,4.3745e-05,101315,-0.011659,-0.0354357,-0.06
2,-1.27407,-0.0349788,0.693754,-6.82837,0.0967368,4.94132,0.000139077,101324,-0.0137226,0.00446172,-0.06
2,-2.22841,-0.223312,0.787699,-6.89627,0.103843,4.84222,0.000172571,101323,-0.0106278,0.0105275,-0.06
1,-63.4445,1.20293,-4.68735,-7.67076,11.1438,18494,0.00117436,101262,0.05,-0.0460912,-0.06
2,-18.3827,-0.536343,-1.75978,-7.87026,0.423333,200.246,0.000112888,101307,-0.0194484,-0.0406457,-0.06
2,-18.362,-0.32857,-1.64216,-7.96937,0.408896,197.146,0.000108999,101307,-0.0170467,-0.0408561,-0.06
2,-16.3293,-0.40688,-1.78004,-7.80476,0.369136,165.881,0.000106159,101309,-0.0189853,-0.0396491,-0.06
1,-67.8172,1.32764,-3.45021,-7.7404,16.3621,30571.8,0.0015665,101257,0.0476287,-0.05,-0.06
2,-21.5713,0.134672,-0.904361,-7.65451,0.664266,379.05,0.000146926,101303,-0.0152095,-0.0474268,-0.06
1,-20.1057,0.511947,1.02593,-7.84518,1.38239,772.529,0.000246054,101305,0.0274946,0.0444018,-0.06
1,-23.1151,0.528745,1.45522,-8.2761,1.0144,586.809,0.00018669,101302,0.0270097,0.0411148,-0.06
1,-24.7721,0.175724,-3.16626,-5.54107,1.11806,807.221,0.000197701,101300,0.05,-0.0255514,-0.06
1,-22.7831,0.879124,-2.71072,-6.92956,1.67854,1564.49,0.000321791,101302,0.0404659,-0.0281768,-0.06
